,carros,price,link
0,Mercedes-benz Clase Gle 3.0 Coupe 4matic Diésel,189000000,https://carro.mercadolibre.com.co/MCO-1379439831-mercedes-benz-gle-350-d-4matic-2017-_JM#position=1&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
1,Bmw Serie 2 3.0 M235i F22 Coupe,108000000,https://carro.mercadolibre.com.co/MCO-1379452679-bmw-m235i-f22-coupe-2015-_JM#position=2&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
2,Ford Ecosport 2.0 Se,59600000,https://carro.mercadolibre.com.co/MCO-2141575452-ford-ecosport-20-se-2015-_JM#position=3&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
3,Volkswagen Jetta 2.0 Trendline Mt,37500000,https://carro.mercadolibre.com.co/MCO-2141575392-volkswagen-jetta-20-trendline-mt-2012-_JM#position=4&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
4,Toyota Fortuner 2.7l,135000000,https://carro.mercadolibre.com.co/MCO-1379413851-toyota-fortuner-27-2017-_JM#position=5&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
5,Ford Escape 2.0 Se 4x2,65000000,https://carro.mercadolibre.com.co/MCO-2141514262-ford-escape-20-se-2014-_JM#position=6&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
6,Volkswagen T-cross 1.6l Trendline At,76500000,https://carro.mercadolibre.com.co/MCO-1379388769-volkwagen-t-cross-16i-trendline-at-modelo-2021-_JM#position=7&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
7,Dodge Journey 2.4 Se/express,36500000,https://carro.mercadolibre.com.co/MCO-1379465067-dodge-journey-se-2010-_JM#position=8&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
8,Audi A4 1.8 Tfsi Ambition,52000000,https://carro.mercadolibre.com.co/MCO-2141513978-audi-a4-18-t-tfsi-ambition-mt-2014-_JM#position=9&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
9,Mazda 3 2.0 Sport Touring,73500000,https://carro.mercadolibre.com.co/MCO-1379413143-mazda-3-20-sport-touring-2019-_JM#position=10&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
10,Suzuki Swift 1.2 Hibrido,75500000,https://carro.mercadolibre.com.co/MCO-1379413071-suzuki-swift-hybrid-mt-2023-_JM#position=11&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
11,Ford Edge 3.5 Titanium,83000000,https://carro.mercadolibre.com.co/MCO-2141561622-ford-edge-35-titanium-2016-_JM#position=12&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
12,Bmw X5 3.0 Xdrive30d Premium 258 Hp,153000000,https://carro.mercadolibre.com.co/MCO-2141561552-bmw-x5-xdrive30d-2014-_JM#position=13&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
13,Volvo Xc60 2.0 T5 Awd Momentum,94000000,https://carro.mercadolibre.com.co/MCO-2141574090-volvo-xc60-t5-awd-momentum-2017-_JM#position=14&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
