,carros,price,link,vehicle_info
0,Toyota 4runner 4.0 Sr5,315000000,https://carro.mercadolibre.com.co/MCO-2149881448-toyota-4runner-40-sr5-_JM#position=1&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2022', 'Kilometrage': '25720 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Belmira - Usaquén - Bogotá D.C.', 'Pub Number': '2149881448', 'Created At': '2024-01-13 18:09:57'}"
1,Renault Captur Intens,112000000,https://carro.mercadolibre.com.co/MCO-2149629108-renault-captur-intens-2022-_JM#position=2&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2022', 'Kilometrage': '26350 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Funza - Cundinamarca', 'Pub Number': '2149629108', 'Created At': '2024-01-13 18:09:58'}"
2,Chevrolet Sonic Lt,42000000,https://carro.mercadolibre.com.co/MCO-2149693060-chevrolet-sonic-lt-2016-_JM#position=3&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2016', 'Kilometrage': '36000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Rafael Nuñez - Teusaquillo - Bogotá D.C.', 'Pub Number': '2149693060', 'Created At': '2024-01-13 18:09:58'}"
3,Jeep Grand Cherokee 3.6 Limited,178000000,https://carro.mercadolibre.com.co/MCO-2149679508-jeep-grand-cherokee-36-limited-_JM#position=4&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2020', 'Kilometrage': '24000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Cedritos - Usaquén - Bogotá D.C.', 'Pub Number': '2149679508', 'Created At': '2024-01-13 18:09:59'}"
4,Nissan Note Sense,38000000,https://carro.mercadolibre.com.co/MCO-2149743290-nissan-note-sense-2015-_JM#position=5&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2015', 'Kilometrage': '92000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Capellanía - Fontibón - Bogotá D.C.', 'Pub Number': '2149743290', 'Created At': '2024-01-13 18:10:00'}"
5,Peugeot 308 2.0 Premium,26000000,https://carro.mercadolibre.com.co/MCO-2149614798-peugeot-308-_JM#position=6&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2009', 'Kilometrage': '127500 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Rincón de Suba - Suba - Bogotá D.C.', 'Pub Number': '2149614798', 'Created At': '2024-01-13 18:10:01'}"
6,Honda Cr-v 2.4 Lx At,59900000,https://carro.mercadolibre.com.co/MCO-2149879494-honda-crv-24-lx-at-2011-_JM#position=7&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2011', 'Kilometrage': '89729 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Benedictinos - Envigado - Antioquia', 'Pub Number': '2149879494', 'Created At': '2024-01-13 18:10:01'}"
7,Chevrolet Sonic 1.6 Lt 4 P Automática,45000000,https://carro.mercadolibre.com.co/MCO-2149627440-chevrolet-sonic-_JM#position=8&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2017', 'Kilometrage': '77000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Britalia - Suba - Bogotá D.C.', 'Pub Number': '2149627440', 'Created At': '2024-01-13 18:10:02'}"
8,Toyota Hilux 2.8l,198000000,https://carro.mercadolibre.com.co/MCO-2149627156-toyota-hilux-28-_JM#position=9&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2020', 'Kilometrage': '50040 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Poblado - Medellín - Antioquia', 'Pub Number': '2149627156', 'Created At': '2024-01-13 18:10:03'}"
9,Ford Focus Titanium,38000000,https://carro.mercadolibre.com.co/MCO-2149691262-ford-focus-titanium-2013-_JM#position=10&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2013', 'Kilometrage': '77946 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Alsacia - Kennedy - Bogotá D.C.', 'Pub Number': '2149691262', 'Created At': '2024-01-13 18:10:03'}"
